N,f,t,x,D,V,R,I,Cost,Pi,E,S,g1,g2,g3
5000.0,0.0,0.0,0.0,20000.0,5000.0,0.0,0.0,275000.0,975000.0,5000.0,0.85,975000.0,0.9991590411403736,0.9500303059667605
5000.0,0.0,0.0,0.1,20000.0,5000.0,0.0,0.0,275000.0,975000.0,5000.0,0.85,975000.0,0.9991590411403736,0.9500303059667605
5000.0,0.0,0.0,0.2,20000.0,5000.0,0.0,0.0,275000.0,975000.0,5000.0,0.85,975000.0,0.9991590411403736,0.9500303059667605
5000.0,0.0,0.0,0.30000000000000004,20000.0,5000.0,0.0,0.0,275000.0,975000.0,5000.0,0.85,975000.0,0.9991590411403736,0.9500303059667605
5000.0,0.0,0.0,0.4,20000.0,5000.0,0.0,0.0,275000.0,975000.0,5000.0,0.85,975000.0,0.9991590411403736,0.9500303059667605
5000.0,0.0,0.0,0.5,20000.0,5000.0,0.0,0.0,275000.0,975000.0,5000.0,0.85,975000.0,0.9991590411403736,0.9500303059667605
5000.0,0.0,0.0,0.6000000000000001,20000.0,5000.0,0.0,0.0,275000.0,975000.0,5000.0,0.85,975000.0,0.9991590411403736,0.9500303059667605
5000.0,0.0,0.0,0.7000000000000001,20000.0,5000.0,0.0,0.0,275000.0,975000.0,5000.0,0.85,975000.0,0.9991590411403736,0.9500303059667605
5000.0,0.0,0.0,0.8,20000.0,5000.0,0.0,0.0,275000.0,975000.0,5000.0,0.85,975000.0,0.9991590411403736,0.9500303059667605
5000.0,0.0,1.0,0.0,19650.0,5000.0,4374.999999999999,0.0,275000.0,979375.0,5000.0,0.85,979375.0,0.9991590411403736,0.9500303059667605
5000.0,0.0,1.0,0.1,19650.0,5000.0,4374.999999999999,437.49999999999994,275000.0,979375.0,4999.978125,0.85000875,979375.0,0.9991604982473086,0.9500718697926466
5000.0,0.0,1.0,0.2,19650.0,5000.0,4374.999999999999,874.9999999999999,275000.0,979375.0,4999.95625,0.8500175,979375.0,0.9991619553542435,0.9501134336185326
5000.0,0.0,1.0,0.30000000000000004,19650.0,5000.0,4374.999999999999,1312.5,275000.0,979375.0,4999.934375,0.85002625,979375.0,0.9991634124611786,0.9501549974444187
5000.0,0.0,1.0,0.4,19650.0,5000.0,4374.999999999999,1749.9999999999998,275000.0,979375.0,4999.9125,0.850035,979375.0,0.9991648695681135,0.9501965612703047
5000.0,0.0,1.0,0.5,19650.0,5000.0,4374.999999999999,2187.4999999999995,275000.0,979375.0,4999.890625,0.85004375,979375.0,0.9991663266750485,0.9502381250961908
5000.0,0.0,1.0,0.6000000000000001,19650.0,5000.0,4374.999999999999,2625.0,275000.0,979375.0,4999.86875,0.8500525,979375.0,0.9991677837819836,0.9502796889220768
5000.0,0.0,1.0,0.7000000000000001,19650.0,5000.0,4374.999999999999,3062.4999999999995,275000.0,979375.0,4999.846875,0.85006125,979375.0,0.9991692408889185,0.9503212527479629
5000.0,0.0,1.0,0.8,19650.0,5000.0,4374.999999999999,3499.9999999999995,275000.0,979375.0,4999.825,0.85007,979375.0,0.9991706979958535,0.9503628165738489
5000.0,0.0,2.0,0.0,19300.0,5000.0,8749.999999999998,0.0,275000.0,983750.0,5000.0,0.85,983750.0,0.9991590411403736,0.9500303059667605
5000.0,0.0,2.0,0.1,19300.0,5000.0,8749.999999999998,874.9999999999999,275000.0,983750.0,4999.95625,0.8500175,983750.0,0.9991619553542435,0.9501134336185326
5000.0,0.0,2.0,0.2,19300.0,5000.0,8749.999999999998,1749.9999999999998,275000.0,983750.0,4999.9125,0.850035,983750.0,0.9991648695681135,0.9501965612703047
5000.0,0.0,2.0,0.30000000000000004,19300.0,5000.0,8749.999999999998,2625.0,275000.0,983750.0,4999.86875,0.8500525,983750.0,0.9991677837819836,0.9502796889220768
5000.0,0.0,2.0,0.4,19300.0,5000.0,8749.999999999998,3499.9999999999995,275000.0,983750.0,4999.825,0.85007,983750.0,0.9991706979958535,0.9503628165738489
5000.0,0.0,2.0,0.5,19300.0,5000.0,8749.999999999998,4374.999999999999,275000.0,983750.0,4999.78125,0.8500875,983750.0,0.9991736122097234,0.9504459442256211
5000.0,0.0,2.0,0.6000000000000001,19300.0,5000.0,8749.999999999998,5250.0,275000.0,983750.0,4999.7375,0.850105,983750.0,0.9991765264235934,0.9505290718773932
5000.0,0.0,2.0,0.7000000000000001,19300.0,5000.0,8749.999999999998,6124.999999999999,275000.0,983750.0,4999.69375,0.8501225,983750.0,0.9991794406374634,0.9506121995291653
5000.0,0.0,2.0,0.8,19300.0,5000.0,8749.999999999998,6999.999999999999,275000.0,983750.0,4999.65,0.85014,983750.0,0.9991823548513334,0.9506953271809374
5000.0,0.0,3.0,0.0,18950.0,5000.0,13124.999999999998,0.0,275000.0,988125.0,5000.0,0.85,988125.0,0.9991590411403736,0.9500303059667605
5000.0,0.0,3.0,0.1,18950.0,5000.0,13124.999999999998,1312.5,275000.0,988125.0,4999.934375,0.85002625,988125.0,0.9991634124611786,0.9501549974444187
5000.0,0.0,3.0,0.2,18950.0,5000.0,13124.999999999998,2625.0,275000.0,988125.0,4999.86875,0.8500525,988125.0,0.9991677837819836,0.9502796889220768
5000.0,0.0,3.0,0.30000000000000004,18950.0,5000.0,13124.999999999998,3937.5,275000.0,988125.0,4999.803125,0.85007875,988125.0,0.9991721551027885,0.950404380399735
5000.0,0.0,3.0,0.4,18950.0,5000.0,13124.999999999998,5250.0,275000.0,988125.0,4999.7375,0.850105,988125.0,0.9991765264235934,0.9505290718773932
5000.0,0.0,3.0,0.5,18950.0,5000.0,13124.999999999998,6562.499999999999,275000.0,988125.0,4999.671875,0.85013125,988125.0,0.9991808977443984,0.9506537633550514
5000.0,0.0,3.0,0.6000000000000001,18950.0,5000.0,13124.999999999998,7875.0,275000.0,988125.0,4999.60625,0.8501575,988125.0,0.9991852690652034,0.9507784548327095
5000.0,0.0,3.0,0.7000000000000001,18950.0,5000.0,13124.999999999998,9187.5,275000.0,988125.0,4999.540625,0.85018375,988125.0,0.9991896403860084,0.9509031463103677
5000.0,0.0,3.0,0.8,18950.0,5000.0,13124.999999999998,10500.0,275000.0,988125.0,4999.475,0.85021,988125.0,0.9991940117068134,0.9510278377880258
5000.0,0.0,4.0,0.0,18600.0,5000.0,17499.999999999996,0.0,275000.0,992500.0,5000.0,0.85,992500.0,0.9991590411403736,0.9500303059667605
5000.0,0.0,4.0,0.1,18600.0,5000.0,17499.999999999996,1749.9999999999998,275000.0,992500.0,4999.9125,0.850035,992500.0,0.9991648695681135,0.9501965612703047
5000.0,0.0,4.0,0.2,18600.0,5000.0,17499.999999999996,3499.9999999999995,275000.0,992500.0,4999.825,0.85007,992500.0,0.9991706979958535,0.9503628165738489
5000.0,0.0,4.0,0.30000000000000004,18600.0,5000.0,17499.999999999996,5250.0,275000.0,992500.0,4999.7375,0.850105,992500.0,0.9991765264235934,0.9505290718773932
5000.0,0.0,4.0,0.4,18600.0,5000.0,17499.999999999996,6999.999999999999,275000.0,992500.0,4999.65,0.85014,992500.0,0.9991823548513334,0.9506953271809374
5000.0,0.0,4.0,0.5,18600.0,5000.0,17499.999999999996,8749.999999999998,275000.0,992500.0,4999.5625,0.850175,992500.0,0.9991881832790734,0.9508615824844816
5000.0,0.0,4.0,0.6000000000000001,18600.0,5000.0,17499.999999999996,10500.0,275000.0,992500.0,4999.475,0.85021,992500.0,0.9991940117068134,0.9510278377880258
5000.0,0.0,4.0,0.7000000000000001,18600.0,5000.0,17499.999999999996,12249.999999999998,275000.0,992500.0,4999.3875,0.850245,992500.0,0.9991998401345534,0.9511940930915701
5000.0,0.0,4.0,0.8,18600.0,5000.0,17499.999999999996,13999.999999999998,275000.0,992500.0,4999.3,0.8502799999999999,992500.0,0.9992056685622934,0.9513603483951137
5000.0,0.0,5.0,0.0,18250.0,5000.0,21874.999999999996,0.0,275000.0,996875.0,5000.0,0.85,996875.0,0.9991590411403736,0.9500303059667605
5000.0,0.0,5.0,0.1,18250.0,5000.0,21874.999999999996,2187.4999999999995,275000.0,996875.0,4999.890625,0.85004375,996875.0,0.9991663266750485,0.9502381250961908
5000.0,0.0,5.0,0.2,18250.0,5000.0,21874.999999999996,4374.999999999999,275000.0,996875.0,4999.78125,0.8500875,996875.0,0.9991736122097234,0.9504459442256211
5000.0,0.0,5.0,0.30000000000000004,18250.0,5000.0,21874.999999999996,6562.5,275000.0,996875.0,4999.671875,0.85013125,996875.0,0.9991808977443984,0.9506537633550514
5000.0,0.0,5.0,0.4,18250.0,5000.0,21874.999999999996,8749.999999999998,275000.0,996875.0,4999.5625,0.850175,996875.0,0.9991881832790734,0.9508615824844816
5000.0,0.0,5.0,0.5,18250.0,5000.0,21874.999999999996,10937.499999999998,275000.0,996875.0,4999.453125,0.85021875,996875.0,0.9991954688137484,0.9510694016139118
5000.0,0.0,5.0,0.6000000000000001,18250.0,5000.0,21874.999999999996,13125.0,275000.0,996875.0,4999.34375,0.8502625,996875.0,0.9992027543484234,0.9512772207433422
5000.0,0.0,5.0,0.7000000000000001,18250.0,5000.0,21874.999999999996,15312.499999999998,275000.0,996875.0,4999.234375,0.8503062499999999,996875.0,0.9992100398830984,0.9514850398727719
5000.0,0.0,5.0,0.8,18250.0,5000.0,21874.999999999996,17499.999999999996,275000.0,996875.0,4999.125,0.8503499999999999,996875.0,0.9992173254177734,0.9516928590022021
5000.0,0.0,6.0,0.0,17900.0,5000.0,26249.999999999996,0.0,275000.0,1001250.0,5000.0,0.85,1001250.0,0.9991590411403736,0.9500303059667605
5000.0,0.0,6.0,0.1,17900.0,5000.0,26249.999999999996,2625.0,275000.0,1001250.0,4999.86875,0.8500525,1001250.0,0.9991677837819836,0.9502796889220768
5000.0,0.0,6.0,0.2,17900.0,5000.0,26249.999999999996,5250.0,275000.0,1001250.0,4999.7375,0.850105,1001250.0,0.9991765264235934,0.9505290718773932
5000.0,0.0,6.0,0.30000000000000004,17900.0,5000.0,26249.999999999996,7875.0,275000.0,1001250.0,4999.60625,0.8501575,1001250.0,0.9991852690652034,0.9507784548327095
5000.0,0.0,6.0,0.4,17900.0,5000.0,26249.999999999996,10500.0,275000.0,1001250.0,4999.475,0.85021,1001250.0,0.9991940117068134,0.9510278377880258
5000.0,0.0,6.0,0.5,17900.0,5000.0,26249.999999999996,13124.999999999998,275000.0,1001250.0,4999.34375,0.8502625,1001250.0,0.9992027543484234,0.9512772207433422
5000.0,0.0,6.0,0.6000000000000001,17900.0,5000.0,26249.999999999996,15750.0,275000.0,1001250.0,4999.2125,0.8503149999999999,1001250.0,0.9992114969900334,0.9515266036986579
